Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Charger,Sedan,Jeddah,Dodge,Automatic,Saudi,Full,2017,5.7,64000,145000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,16682,76500
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,129413,57500
Traverse,SUV,Jubail,Chevrolet,Automatic,Gulf Arabic,Full,2012,3.6,176000,40000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,203843,90000
FJ,SUV,Qassim,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,114000,115000
Suburban,SUV,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2018,5.3,58000,170000
Tahoe,SUV,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,110000,144000
Impala,Sedan,Qassim,Chevrolet,Automatic,Gulf Arabic,Standard,2019,3.5,53000,80000
Charger,Sedan,Riyadh,Dodge,Automatic,Saudi,Semi Full,2016,3.6,157136,84500
CX3,Crossover,Al-Medina,Mazda,Automatic,Saudi,Semi Full,2018,2.9,78000,54000
Cerato,Sedan,Arar,Kia,Automatic,Saudi,Standard,2015,1.6,120000,25000
Furniture,Other,Aseer,Toyota,Automatic,Saudi,Semi Full,2013,4.1,285000,55000
C,Sedan,Aseer,Mercedes,Automatic,Other,Full,2018,2.0,91000,138000
Civic,Sedan,Jeddah,Honda,Automatic,Saudi,Full,2016,2.0,68800,55000
Echo Sport,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2015,1.4,101600,28000
Challenger,Sports Car,Dammam,Dodge,Automatic,Other,Full,2016,3.6,160000,89000
Hilux,Pickup,Abha,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
S,Sedan,Riyadh,Mercedes,Automatic,Other,Full,2015,3.0,300000,188000
CL,Convertible,Dammam,Mercedes,Automatic,Saudi,Full,2011,4.0,60000,170000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,56000,50000
Innova,MPV,Jeddah,Toyota,Automatic,Saudi,Semi Full,2007,2.7,199800,25000
S,Sedan,Dammam,Mercedes,Automatic,Saudi,Full,2015,5.0,99000,255000
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2012,3.8,86213,41500
Hilux,Pickup,Jeddah,Toyota,Manual,Saudi,Full,2018,2.7,27000,88000
Edge,SUV,Riyadh,Ford,Automatic,Saudi,Full,2011,3.5,231000,35000
Wrangler,SUV,Jeddah,Jeep,Automatic,Saudi,Full,2015,3.6,200,85000
Patrol,SUV,Riyadh,Nissan,Automatic,Saudi,Full,2015,3.2,125000,130000
Datsun,Sedan,Riyadh,Nissan,Manual,Saudi,Full,2016,2.0,22000,45000
Taurus,Sedan,Riyadh,Ford,Automatic,Other,Full,2016,3.5,105,83000
C,Sedan,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,96000,170000
Charger,Sedan,Al-Medina,Dodge,Automatic,Other,Full,2016,1.7,140,65000
Pajero,SUV,Dammam,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,216000,58000
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,161353,57500
